coordinate_id,constructor,ordered_operands,first_rejecting_class,rejection_reason,value_min,value_max,denominator_category,signal_families
"PROD(pinj_21l,ece9)",C2,pinj_21l|ece9,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-77196.39036896703,7873400057.35691,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece10)",C2,pinj_21l|ece10,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-84679.94433680485,8383996532.735326,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece11)",C2,pinj_21l|ece11,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-95252.48425229442,10505331089.0897,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece12)",C2,pinj_21l|ece12,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-97947.10077588564,11006738698.43242,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece13)",C2,pinj_21l|ece13,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-98031.23591888836,11075598861.195951,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece14)",C2,pinj_21l|ece14,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-102622.41225210008,11510214014.283558,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece15)",C2,pinj_21l|ece15,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-98994.61231742887,11021843693.533213,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece16)",C2,pinj_21l|ece16,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-99942.32824894268,11078768056.655865,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece18)",C2,pinj_21l|ece18,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-126019.79490801651,14147098934.852121,none,ece_te_profile|neutral_beams
"PROD(pinj_21l,ece19)",C2,pinj_21l|ece19,D,D_CONSTANT_ON_REQUIRED_CALIBRATION_BLOCK,-115209.19542511663,12980498777.718502,none,ece_te_profile|neutral_beams
