coordinate_id,constructor,ordered_operands,operand_roles,primitive_ancestors,n_ancestors,depth,output_dimension,unit_expression,temporal_resolution_rule,temporal_resolution_bound_ms,provenance_lineage,target_independence,aliasing_flag,upsample_flag,uncalibrated_flag,primary_or_sensitivity,numerical_realization_id,domain_predicate
DOT(ece10),C1,ece10,rate,ece10,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece10:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(ece11),C1,ece11,rate,ece11,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece11:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(ece12),C1,ece12,rate,ece12,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece12:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(ece13),C1,ece13,rate,ece13,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece13:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(ece14),C1,ece14,rate,ece14,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece14:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(ece15),C1,ece15,rate,ece15,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece15:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(ece16),C1,ece16,rate,ece16,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece16:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(ece18),C1,ece18,rate,ece18,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece18:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(ece19),C1,ece19,rate,ece19,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece19:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
DOT(ece20),C1,ece20,rate,ece20,1,1,(eV) T^-1,eV/s,inherit+DERIVED_FROM_NUMERICAL_REALIZATION,0.2,ece20:ece_te_profile,TRANSITIVE_FROM_TARGET_INDEPENDENT_BOUNDARY,False,False,False,PRIMARY,FD2_PHYSICAL_TIME_V1,
