coordinate_id,constructor,ordered_operands,operand_roles,family_signature,role_semantics,search_stratum
LEVEL_RATE(ece16|bt),C6,ece16|bt,level|rate,ECE|MAG,(level_family | rate_family),C6:ECE|MAG
LEVEL_RATE(ece16|ip),C6,ece16|ip,level|rate,ECE|MAG,(level_family | rate_family),C6:ECE|MAG
LEVEL_RATE(ece16|gasa),C6,ece16|gasa,level|rate,ECE|GAS,(level_family | rate_family),C6:ECE|GAS
LEVEL_RATE(ece16|gasb),C6,ece16|gasb,level|rate,ECE|GAS,(level_family | rate_family),C6:ECE|GAS
LEVEL_RATE(ece16|gasc),C6,ece16|gasc,level|rate,ECE|GAS,(level_family | rate_family),C6:ECE|GAS
LEVEL_RATE(ece16|gasd),C6,ece16|gasd,level|rate,ECE|GAS,(level_family | rate_family),C6:ECE|GAS
LEVEL_RATE(ece16|pinj),C6,ece16|pinj,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece16|pinj_15l),C6,ece16|pinj_15l,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece16|pinj_30l),C6,ece16|pinj_30l,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece16|pinj_30r),C6,ece16|pinj_30r,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece16|pinj_33r),C6,ece16|pinj_33r,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece16|tinj),C6,ece16|tinj,level|rate,ECE|NBI,(level_family | rate_family),C6:ECE|NBI
LEVEL_RATE(ece16|ece1),C6,ece16|ece1,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece2),C6,ece16|ece2,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece3),C6,ece16|ece3,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece4),C6,ece16|ece4,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece5),C6,ece16|ece5,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece6),C6,ece16|ece6,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece7),C6,ece16|ece7,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece8),C6,ece16|ece8,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece9),C6,ece16|ece9,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece10),C6,ece16|ece10,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece11),C6,ece16|ece11,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece12),C6,ece16|ece12,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece13),C6,ece16|ece13,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece14),C6,ece16|ece14,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
LEVEL_RATE(ece16|ece15),C6,ece16|ece15,level|rate,ECE|ECE,(level_family | rate_family),C6:ECE|ECE
