analysis,realization_index,shot,parameter,feature,display_name,coefficient,canonical_coefficient
fixed_threshold,3,160717,0.02,d[kappa]/d[t],dot kappa,1.253558674496917,1.2535586744969165
fixed_threshold,3,160717,0.02,r[q95]/r[kappa],q95 / kappa,0.01945218960913878,0.0194521896091375
fixed_threshold,3,160717,0.02,d[pcdiamag3]/d[betan],D_betaN W_dia,1.3228490485203546,1.3228490485203557
fixed_threshold,3,160717,0.02,d[kappa]/d[betan],D_betaN kappa,-1.532932479178651,-1.5329324791786494
fixed_threshold,3,160717,0.02,d[betan]/d[t],dot beta_N,-0.4141848533263791,-0.4141848533263781
fixed_threshold,3,160717,0.02,d[li]/d[betan],D_betaN l_i,-0.05577429562346294,-0.0557742956234631
fixed_threshold,3,160717,0.05,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.6614619384832519,0.332302970327353
fixed_threshold,3,160717,0.05,d[kappa]/d[t],dot kappa,0.37032891459861395,1.2535586744969165
fixed_threshold,3,160717,0.05,r[q95]/r[kappa],q95 / kappa,0.03270115508233251,0.0194521896091375
fixed_threshold,3,160717,0.05,d[pcdiamag3]/d[betan],D_betaN W_dia,0.7695740077358735,1.3228490485203557
fixed_threshold,3,160717,0.05,d[kappa]/d[betan],D_betaN kappa,0.13726806341903192,-1.5329324791786494
fixed_threshold,3,160717,0.05,d[betan]/d[t],dot beta_N,0.38025967940179206,-0.4141848533263781
