canonical_or_augmentation,noise_sigma,noise_percent,noise_replicate,noise_seed,trajectory_id,representation_id,representation_label,support_scope,rmse,estimator,cohort
canonical,0.01,1.0,0,901.0,conf_008,C0_matched,raw stencil (10),native,8.385856810369024,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_009,C0_matched,raw stencil (10),native,8.645875712941926,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_010,C0_matched,raw stencil (10),native,8.356248891720279,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_011,C0_matched,raw stencil (10),native,8.616984317839675,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_012,C0_matched,raw stencil (10),native,8.93195886339964,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_013,C0_matched,raw stencil (10),native,8.775397357988865,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_014,C0_matched,raw stencil (10),native,8.275395534757081,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_015,C0_matched,raw stencil (10),native,9.243763802574575,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_016,C0_matched,raw stencil (10),native,8.332895131345198,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_017,C0_matched,raw stencil (10),native,8.614895450874803,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_018,C0_matched,raw stencil (10),native,9.045328007695344,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_019,C0_matched,raw stencil (10),native,9.14198288516561,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_020,C0_matched,raw stencil (10),native,8.656354329101582,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_021,C0_matched,raw stencil (10),native,8.429926157082601,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_022,C0_matched,raw stencil (10),native,8.520369465583794,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_023,C0_matched,raw stencil (10),native,9.102683509249015,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_000,C0_poly2,quadratic (10->65),native,3.322657259096113,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_001,C0_poly2,quadratic (10->65),native,2.8191436574635675,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_002,C0_poly2,quadratic (10->65),native,2.245602868711643,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_003,C0_poly2,quadratic (10->65),native,2.864392938608899,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_004,C0_poly2,quadratic (10->65),native,3.033731528346061,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_005,C0_poly2,quadratic (10->65),native,3.06396374477338,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_006,C0_poly2,quadratic (10->65),native,3.1418673944981386,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_007,C0_poly2,quadratic (10->65),native,3.282888541959595,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_008,C0_poly2,quadratic (10->65),native,2.8279765173336764,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_009,C0_poly2,quadratic (10->65),native,2.9720151920448066,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_010,C0_poly2,quadratic (10->65),native,3.1204227614376743,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_011,C0_poly2,quadratic (10->65),native,3.0015762804698505,pysindy.STLSQ,confirmation_24
canonical,0.01,1.0,0,901.0,conf_012,C0_poly2,quadratic (10->65),native,2.933655163380327,pysindy.STLSQ,confirmation_24
