shot_id,era,block,denominator,used_by,finite,rms,no_sign_change,eta,eta_threshold,admissible,failure_reasons
165955,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.6640365537395315e+19,True,0.43146661917642565,0.05,True,
165955,earlier,C,cerqtit10,RECIP(cerqtit10),True,1676.2894679842507,True,0.1342250275368991,0.05,True,
165955,earlier,C,ece22,"RATIO(ip,ece22)",True,3637.681751608958,True,0.3500166238950577,0.05,True,
165955,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.6254749872656056e+19,True,0.43780376913875685,0.05,True,
165965,earlier,A,cerqtit10,RECIP(cerqtit10),True,1361.2550700142906,True,0.16822710529746343,0.05,True,
165965,earlier,A,ece22,"RATIO(ip,ece22)",True,3310.79913210974,True,0.37222045641263896,0.05,True,
165965,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.765375261130488e+19,True,0.3921461567952915,0.05,True,
165965,earlier,B,cerqtit10,RECIP(cerqtit10),True,1688.474339093192,True,0.13562539548157196,0.05,True,
165965,earlier,B,ece22,"RATIO(ip,ece22)",True,3793.758476005593,True,0.3248354295189559,0.05,True,
165965,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.6605741778427023e+19,True,0.4075929510931343,0.05,True,
165965,earlier,C,cerqtit10,RECIP(cerqtit10),True,1794.7697475315058,True,0.12759296857714617,0.05,True,
165965,earlier,C,ece22,"RATIO(ip,ece22)",True,3907.8456503384255,True,0.315352056941587,0.05,True,
165965,earlier,C,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.6069844175949922e+19,True,0.41597152381505653,0.05,True,
170394,earlier,A,cerqtit10,RECIP(cerqtit10),True,1280.1440403463894,True,0.16669999814827893,0.05,True,
170394,earlier,A,ece22,"RATIO(ip,ece22)",True,2840.3868031902334,True,0.23671449616046097,0.05,True,
170394,earlier,A,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.715251407750172e+19,True,0.29275260372247913,0.05,True,
170394,earlier,B,cerqtit10,RECIP(cerqtit10),True,1529.1649317626113,True,0.13955329783118633,0.05,True,
170394,earlier,B,ece22,"RATIO(ip,ece22)",True,2751.5196213035056,True,0.2443597806144207,0.05,True,
170394,earlier,B,prmtan_neped,"RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RECIP(prmtan_neped)",True,2.932219072718245e+19,True,0.27109056304005935,0.05,True,
170394,earlier,C,cerqtit10,RECIP(cerqtit10),True,1613.3461662402997,True,0.13227168082134247,0.05,True,
170394,earlier,C,ece22,"RATIO(ip,ece22)",True,2579.826079300117,True,0.2606225033589876,0.05,True,
