candidate,shot,cohort,target_source_dt_ms,coarsest_predictor_source_dt_ms,binding_signal,required_analysis_dt_ms,n_grid_samples,validation_feasible
ece8,170411,external,0.19999203155504205,14.186746987951807,prmtan_teped,14.186746987951807,325,True
ece8,186997,external,0.1999933277731443,8.683001531393568,prmtan_teped,8.683001531393568,618,True
ece8,187018,external,0.19999333866240343,9.980039920159681,cerqrott3,9.980039920159681,500,True
ece8,187019,external,0.19999297012302286,8.248847926267281,prmtan_teped,8.248847926267281,568,True
ece8,187021,external,0.19999333866240343,10.0,cerqrott3,10.0,499,True
ece8,187022,external,0.19999297012302286,8.211009174311927,prmtan_teped,8.211009174311927,570,True
ece8,189646,external,0.19999213341724356,7.402376910016978,cerqrott8,7.402376910016978,589,True
ece8,189649,external,0.19999213341724356,7.230514096185738,cerqrott8,7.230514096185738,604,True
ece8,189650,external,0.19999213341724356,7.389830508474576,cerqrott8,7.389830508474576,591,True
ece8,189652,external,0.1999918367346939,6.413043478260869,cerqrott8,6.413043478260869,644,True
ece8,195261,external,0.19999334973731464,6.682408500590319,prmtan_teped,6.682408500590319,790,True
ece8,195265,external,0.19999334973731464,6.900726392251816,prmtan_teped,6.900726392251816,766,True
ece8,195266,external,0.19999334973731464,6.835138387484958,prmtan_teped,6.835138387484958,773,True
ece8,195268,external,0.1999934210526316,6.869047619047619,prmtan_teped,6.869047619047619,779,True
ece8,195269,external,0.19999334973731464,6.761904761904762,prmtan_teped,6.761904761904762,781,True
ece8,195274,external,0.19999334973731464,7.033112582781457,cerqrott8,7.033112582781457,751,True
ece8,195626,external,0.19999272065514104,6.666666666666667,prmtan_teped,6.666666666666667,760,True
ece8,195642,external,0.1999923041403725,6.829608938547486,prmtan_teped,6.829608938547486,700,True
ece8,195645,external,0.19999229850976166,6.815642458100559,prmtan_teped,6.815642458100559,699,True
ece8,195648,external,0.19999230680463134,7.117384843982169,cerqrott3,7.117384843982169,672,True
ece8,195649,external,0.19999230325187609,6.7262723521320495,prmtan_teped,6.7262723521320495,711,True
ece8,195651,external,0.19999232186732188,6.648575305291724,prmtan_teped,6.648575305291724,721,True
ece8,195652,external,0.1999923121276187,6.75,prmtan_teped,6.75,709,True
ece8,195659,external,0.19999048751486326,9.974424552429667,prmtan_teped,9.974424552429667,380,True
ece9,160715,development,0.1999918367346939,5.884665792922673,cerqrott3,5.884665792922673,729,True
ece9,160720,development,0.1999918367346939,5.884665792922673,cerqrott3,5.884665792922673,730,True
ece9,161138,development,0.199991991991992,9.973614775725594,cerqrott8,9.973614775725594,380,True
ece9,165022,development,0.19999182806243362,5.876840696117805,cerqrott3,5.876840696117805,730,True
ece9,165028,development,0.19999184505606524,5.898123324396783,cerqrott3,5.898123324396783,730,True
ece9,165042,development,0.19999182806243362,5.8533333333333335,cerqrott3,5.8533333333333335,733,True
ece9,165861,development,0.19999184505606524,5.890227576974565,cerqrott3,5.890227576974565,731,True
ece9,170396,development,0.19999203155504205,14.144144144144144,prmtan_teped,14.144144144144144,326,True
ece9,187017,development,0.19999334420446604,8.328445747800586,prmtan_teped,8.328445747800586,600,True
ece9,187020,development,0.2,8.290598290598291,prmtan_teped,8.290598290598291,619,True
ece9,187024,development,0.2,7.96169630642955,prmtan_teped,7.96169630642955,645,True
ece9,189647,development,0.19999213341724356,7.452991452991453,cerqrott8,7.452991452991453,585,True
ece9,189651,development,0.19999213341724356,7.194719471947194,cerqrott8,7.194719471947194,607,True
ece9,195264,development,0.19999334973731464,6.818181818181818,prmtan_teped,6.818181818181818,775,True
ece9,195267,development,0.19999343163979114,6.869047619047619,prmtan_teped,6.869047619047619,780,True
ece9,195273,development,0.19999343702828642,6.856465005931198,prmtan_teped,6.856465005931198,782,True
ece9,195638,development,0.19999228216408121,6.768377253814147,prmtan_teped,6.768377253814147,704,True
ece9,195647,development,0.19999230562074408,7.149253731343284,cerqrott3,7.149253731343284,669,True
ece9,195650,development,0.19999229821318548,6.648426812585499,prmtan_teped,6.648426812585499,717,True
ece9,195655,development,0.1999923268751199,7.100591715976331,cerqrott3,7.100591715976331,674,True
ece9,155537,external,0.19999181970632748,5.881578947368421,cerqrott3,5.881578947368421,728,True
ece9,159310,external,0.1999921411450352,6.488095238095238,cerqrott3,6.488095238095238,673,True
ece9,160717,external,0.1999918367346939,5.884665792922673,cerqrott3,5.884665792922673,728,True
ece9,160719,external,0.19999187784275504,5.908496732026144,cerqrott3,5.908496732026144,729,True
ece9,160721,external,0.1999918367346939,5.884665792922673,cerqrott3,5.884665792922673,729,True
ece9,161136,external,0.199991991991992,9.973614775725594,cerqrott8,9.973614775725594,380,True
ece9,161145,external,0.199991991991992,9.973614775725594,cerqrott8,9.973614775725594,380,True
ece9,161414,external,0.1999931621593901,6.153846153846154,cerqrott3,6.153846153846154,833,True
ece9,165017,external,0.19999184505606524,5.9523809523809526,cerqrott3,5.9523809523809526,723,True
ece9,165026,external,0.19999184505606524,6.002728512960436,cerqrott3,6.002728512960436,717,True
ece9,165027,external,0.19999184505606524,5.876840696117805,cerqrott3,5.876840696117805,732,True
ece9,165029,external,0.19999184505606524,6.145251396648045,cerqrott3,6.145251396648045,668,True
ece9,165031,external,0.19999184505606524,6.153846153846154,cerqrott3,6.153846153846154,667,True
ece9,165043,external,0.19999184505606524,5.882352941176471,cerqrott3,5.882352941176471,732,True
ece9,165860,external,0.19999184505606524,5.882352941176471,cerqrott3,5.882352941176471,732,True
ece9,165955,external,0.19999184505606524,5.858854860186418,cerqrott3,5.858854860186418,734,True
ece9,165965,external,0.1999918367346939,7.032786885245901,cerqrott13,7.032786885245901,610,True
ece9,170394,external,0.19999203155504205,13.887240356083087,prmtan_teped,13.887240356083087,331,True
ece9,170411,external,0.19999203155504205,14.186746987951807,prmtan_teped,14.186746987951807,325,True
ece9,186997,external,0.1999933277731443,8.683001531393568,prmtan_teped,8.683001531393568,618,True
ece9,187018,external,0.19999333866240343,9.980039920159681,cerqrott3,9.980039920159681,500,True
ece9,187019,external,0.19999297012302286,8.248847926267281,prmtan_teped,8.248847926267281,568,True
ece9,187021,external,0.19999333866240343,10.0,cerqrott3,10.0,499,True
ece9,187022,external,0.19999297012302286,8.211009174311927,prmtan_teped,8.211009174311927,570,True
ece9,189646,external,0.19999213341724356,7.402376910016978,cerqrott8,7.402376910016978,589,True
ece9,189649,external,0.19999213341724356,7.230514096185738,cerqrott8,7.230514096185738,604,True
ece9,189650,external,0.19999213341724356,7.389830508474576,cerqrott8,7.389830508474576,591,True
ece9,189652,external,0.1999918367346939,6.413043478260869,cerqrott8,6.413043478260869,644,True
ece9,195261,external,0.19999334973731464,6.682408500590319,prmtan_teped,6.682408500590319,790,True
ece9,195265,external,0.19999334973731464,6.900726392251816,prmtan_teped,6.900726392251816,766,True
ece9,195266,external,0.19999334973731464,6.835138387484958,prmtan_teped,6.835138387484958,773,True
ece9,195268,external,0.1999934210526316,6.869047619047619,prmtan_teped,6.869047619047619,779,True
ece9,195269,external,0.19999334973731464,6.761904761904762,prmtan_teped,6.761904761904762,781,True
ece9,195274,external,0.19999334973731464,7.033112582781457,cerqrott8,7.033112582781457,751,True
ece9,195626,external,0.19999272065514104,6.666666666666667,prmtan_teped,6.666666666666667,760,True
ece9,195642,external,0.1999923041403725,6.829608938547486,prmtan_teped,6.829608938547486,700,True
ece9,195645,external,0.19999229850976166,6.815642458100559,prmtan_teped,6.815642458100559,699,True
ece9,195648,external,0.19999230680463134,7.117384843982169,cerqrott3,7.117384843982169,672,True
ece9,195649,external,0.19999230325187609,6.7262723521320495,prmtan_teped,6.7262723521320495,711,True
ece9,195651,external,0.19999232186732188,6.648575305291724,prmtan_teped,6.648575305291724,721,True
ece9,195652,external,0.1999923121276187,6.75,prmtan_teped,6.75,709,True
ece9,195659,external,0.19999048751486326,9.974424552429667,prmtan_teped,9.974424552429667,380,True
ece10,160715,development,0.1999918367346939,5.884665792922673,cerqrott3,5.884665792922673,729,True
ece10,160720,development,0.1999918367346939,5.884665792922673,cerqrott3,5.884665792922673,730,True
ece10,161138,development,0.199991991991992,9.973614775725594,cerqrott8,9.973614775725594,380,True
