realization_index,shot,sample_index,eps,A_analytical,dG_dy_fd,abs_error
24,170394,725,1e-05,0.1132558176900863,0.1132558177199816,2.989529457320117e-11
24,170394,725,0.0001,0.1132558176900863,0.11325581769916493,9.078626739267293e-12
7,161136,793,1e-06,0.05185074627861175,0.051850746751735954,4.731242064792696e-10
7,161136,793,1e-05,0.05185074627861175,0.05185074633540231,5.6790565305941954e-11
7,161136,793,0.0001,0.05185074627861175,0.05185074628322184,4.6100900874535e-12
50,195626,574,1e-06,0.044766249840949346,0.044766250026362364,1.854130182721292e-10
50,195626,574,1e-05,0.044766249840949346,0.04476624986746169,2.651234093375976e-11
50,195626,574,0.0001,0.044766249840949346,0.0447662498410939,1.4455103780619538e-13
49,195274,956,1e-06,0.006520558128686238,0.0065205580379590344,9.072720352776287e-11
49,195274,956,1e-05,0.006520558128686238,0.00652055787142558,2.572606580888981e-10
49,195274,956,0.0001,0.006520558128686238,0.0065205581134542,1.5232037853252223e-11
32,187021,225,1e-06,0.010939016013818414,0.010939015249178397,7.646400179694979e-10
32,187021,225,1e-05,0.010939016013818414,0.010939016048538973,3.472055802589136e-11
32,187021,225,0.0001,0.010939016013818414,0.010939016019673176,5.854761120360763e-12
48,195273,632,1e-06,0.030108402794625233,0.030108404006079503,1.211454270233503e-09
48,195273,632,1e-05,0.030108402794625233,0.030108402825079757,3.045452431904572e-11
48,195273,632,0.0001,0.030108402794625233,0.03010840279635274,1.7275070263167436e-12
48,195273,518,1e-06,0.01030338735821934,0.01030338664387287,7.143464708647684e-10
48,195273,518,1e-05,0.01030338735821934,0.010303387355803384,2.415956323886803e-12
48,195273,518,0.0001,0.01030338735821934,0.010303387360383054,2.1637136526919676e-12
56,195649,36,1e-06,0.08073250732033299,0.08073250765128215,3.309491569680745e-10
56,195649,36,1e-05,0.08073250732033299,0.08073250747295257,1.526195836376587e-10
56,195649,36,0.0001,0.08073250732033299,0.08073250732168469,1.351696532481128e-12
19,165043,499,1e-06,0.02929828058314221,0.029298281162271067,5.791288559819918e-10
19,165043,499,1e-05,0.02929828058314221,0.029298280579403976,3.7382354156623165e-12
19,165043,499,0.0001,0.02929828058314221,0.029298280580236646,2.905564677746497e-12
16,165029,133,1e-06,0.02273668409316898,0.022736684618385183,5.252162038615893e-10
16,165029,133,1e-05,0.02273668409316898,0.022736684121560376,2.839139687238479e-11
16,165029,133,0.0001,0.02273668409316898,0.022736684093804804,6.358247262028272e-13
31,187020,127,1e-06,0.01851219206682242,0.018512192501152214,4.343297943520952e-10
31,187020,127,1e-05,0.01851219206682242,0.018512192090369695,2.3547275240787258e-11
31,187020,127,0.0001,0.01851219206682242,0.018512192068720346,1.897926260596705e-12
31,187020,578,1e-06,0.025797945961750446,0.025797944697147912,1.264602533801451e-09
31,187020,578,1e-05,0.025797945961750446,0.025797945976679944,1.4929498609594916e-11
31,187020,578,0.0001,0.025797945961750446,0.025797945966410385,4.6599391012591695e-12
5,160720,972,1e-06,0.11221739392391195,0.11221739482092374,8.970117981732528e-10
5,160720,972,1e-05,0.11221739392391195,0.11221739376066074,1.6325120422155948e-10
5,160720,972,0.0001,0.11221739392391195,0.11221739391498176,8.930189920874909e-12
51,195638,50,1e-06,0.0033668786562689457,0.0033668793864016777,7.301327320519135e-10
51,195638,50,1e-05,0.0033668786562689457,0.0033668787785545713,1.2228562563595946e-10
51,195638,50,0.0001,0.0033668786562689457,0.0033668786547647045,1.5042411760646246e-12
1,159310,404,1e-06,-0.01701491691084689,-0.01701491736394445,4.5309755947187114e-10
1,159310,404,1e-05,-0.01701491691084689,-0.017014916842139627,6.870726210195244e-11
1,159310,404,0.0001,-0.01701491691084689,-0.017014916906532562,4.314326673693358e-12
46,195268,610,1e-06,0.03425531222179368,0.034255312864051035,6.422573584075053e-10
46,195268,610,1e-05,0.03425531222179368,0.03425531228673506,6.494138560242391e-11
46,195268,610,0.0001,0.03425531222179368,0.034255312229003465,7.2097883219157666e-12
21,165861,597,1e-06,-0.015807423390559405,-0.01580742359230669,2.0174728554422927e-10
21,165861,597,1e-05,-0.015807423390559405,-0.01580742326201534,1.285440642817548e-10
21,165861,597,0.0001,-0.015807423390559405,-0.015807423392744102,2.184696867857383e-12
30,187019,846,1e-06,-0.06895859188691877,-0.06895859075428667,1.132632099221098e-09
30,187019,846,1e-05,-0.06895859188691877,-0.06895859182148856,6.543021680016636e-11
30,187019,846,0.0001,-0.06895859188691877,-0.06895859188324471,3.6740610553920305e-12
18,165042,243,1e-06,0.12948558101777496,0.1294855820344054,1.0166304464931386e-09
18,165042,243,1e-05,0.12948558101777496,0.12948558110181807,8.404310580800711e-11
