realization_index,shot,tolerance,feature,coefficient,canonical_coefficient,delta
5,160720,1e-10,d[kappa]/d[betan],-1.4800673207177026,-1.4800673207177035,8.881784197001252e-16
5,160720,1e-10,d[betan]/d[t],-0.5107631886292922,-0.510763188629293,8.881784197001252e-16
5,160720,1e-10,d[li]/d[betan],-0.1592793687328029,-0.15927936873280416,1.2490009027033011e-15
5,160720,1e-08,d[pcdiamag3]/d[kappa],0.33784174492252095,0.33784174492252217,-1.2212453270876722e-15
5,160720,1e-08,d[kappa]/d[t],1.2465376977462739,1.2465376977462752,-1.3322676295501878e-15
5,160720,1e-08,r[q95]/r[kappa],0.035298805721792406,0.0352988057217931,-6.938893903907228e-16
5,160720,1e-08,d[pcdiamag3]/d[betan],1.3154050543679372,1.3154050543679383,-1.1102230246251565e-15
5,160720,1e-08,d[kappa]/d[betan],-1.4800673207177026,-1.4800673207177035,8.881784197001252e-16
5,160720,1e-08,d[betan]/d[t],-0.5107631886292922,-0.510763188629293,8.881784197001252e-16
5,160720,1e-08,d[li]/d[betan],-0.1592793687328029,-0.15927936873280416,1.2490009027033011e-15
5,160720,1e-06,d[pcdiamag3]/d[kappa],0.33784174492252095,0.33784174492252217,-1.2212453270876722e-15
5,160720,1e-06,d[kappa]/d[t],1.2465376977462739,1.2465376977462752,-1.3322676295501878e-15
5,160720,1e-06,r[q95]/r[kappa],0.035298805721792406,0.0352988057217931,-6.938893903907228e-16
5,160720,1e-06,d[pcdiamag3]/d[betan],1.3154050543679372,1.3154050543679383,-1.1102230246251565e-15
5,160720,1e-06,d[kappa]/d[betan],-1.4800673207177026,-1.4800673207177035,8.881784197001252e-16
5,160720,1e-06,d[betan]/d[t],-0.5107631886292922,-0.510763188629293,8.881784197001252e-16
5,160720,1e-06,d[li]/d[betan],-0.1592793687328029,-0.15927936873280416,1.2490009027033011e-15
6,160721,1e-12,d[pcdiamag3]/d[kappa],0.4422577389353005,0.44225773893530185,-1.3322676295501878e-15
6,160721,1e-12,d[kappa]/d[t],1.1030415077720932,1.1030415077720925,6.661338147750939e-16
6,160721,1e-12,r[q95]/r[kappa],-0.004279461782426098,-0.004279461782426511,4.128641872824801e-16
6,160721,1e-12,d[pcdiamag3]/d[betan],1.1511944400168557,1.1511944400168543,1.3322676295501878e-15
6,160721,1e-12,d[kappa]/d[betan],-1.212259033630669,-1.212259033630669,0.0
6,160721,1e-12,d[betan]/d[t],-0.20471005360677882,-0.20471005360677857,-2.498001805406602e-16
6,160721,1e-12,d[li]/d[betan],-0.02572961961421246,-0.02572961961421267,2.0816681711721685e-16
6,160721,1e-10,d[pcdiamag3]/d[kappa],0.4422577389353005,0.44225773893530185,-1.3322676295501878e-15
6,160721,1e-10,d[kappa]/d[t],1.1030415077720932,1.1030415077720925,6.661338147750939e-16
6,160721,1e-10,r[q95]/r[kappa],-0.004279461782426098,-0.004279461782426511,4.128641872824801e-16
6,160721,1e-10,d[pcdiamag3]/d[betan],1.1511944400168557,1.1511944400168543,1.3322676295501878e-15
6,160721,1e-10,d[kappa]/d[betan],-1.212259033630669,-1.212259033630669,0.0
6,160721,1e-10,d[betan]/d[t],-0.20471005360677882,-0.20471005360677857,-2.498001805406602e-16
6,160721,1e-10,d[li]/d[betan],-0.02572961961421246,-0.02572961961421267,2.0816681711721685e-16
6,160721,1e-08,d[pcdiamag3]/d[kappa],0.4422577389353005,0.44225773893530185,-1.3322676295501878e-15
6,160721,1e-08,d[kappa]/d[t],1.1030415077720932,1.1030415077720925,6.661338147750939e-16
6,160721,1e-08,r[q95]/r[kappa],-0.004279461782426098,-0.004279461782426511,4.128641872824801e-16
6,160721,1e-08,d[pcdiamag3]/d[betan],1.1511944400168557,1.1511944400168543,1.3322676295501878e-15
6,160721,1e-08,d[kappa]/d[betan],-1.212259033630669,-1.212259033630669,0.0
6,160721,1e-08,d[betan]/d[t],-0.20471005360677882,-0.20471005360677857,-2.498001805406602e-16
6,160721,1e-08,d[li]/d[betan],-0.02572961961421246,-0.02572961961421267,2.0816681711721685e-16
6,160721,1e-06,d[pcdiamag3]/d[kappa],0.4422577389353005,0.44225773893530185,-1.3322676295501878e-15
6,160721,1e-06,d[kappa]/d[t],1.1030415077720932,1.1030415077720925,6.661338147750939e-16
6,160721,1e-06,r[q95]/r[kappa],-0.004279461782426098,-0.004279461782426511,4.128641872824801e-16
6,160721,1e-06,d[pcdiamag3]/d[betan],1.1511944400168557,1.1511944400168543,1.3322676295501878e-15
6,160721,1e-06,d[kappa]/d[betan],-1.212259033630669,-1.212259033630669,0.0
6,160721,1e-06,d[betan]/d[t],-0.20471005360677882,-0.20471005360677857,-2.498001805406602e-16
6,160721,1e-06,d[li]/d[betan],-0.02572961961421246,-0.02572961961421267,2.0816681711721685e-16
7,161136,1e-12,d[pcdiamag3]/d[kappa],0.2545058590149252,0.2545058590149285,-3.3306690738754696e-15
