realization_index,shot,feature,feature_order,canonical_estimate,bootstrap_mean,bootstrap_median,bootstrap_standard_deviation,bootstrap_variance,q025,q05,q25,q75,q95,q975,fraction_positive,fraction_negative,sign_stability,relative_bootstrap_sd,interval_contains_zero,primary_block_length
9,161145,d[kappa]/d[t],source_matrix_order,1.5945603348940927,1.3051094329241515,1.3502214025487256,0.28245788023574425,0.07978245410727004,0.8053413579147881,0.8379818436359242,1.04655053241285,1.5774424696646927,1.6414260120241018,1.6502323372078278,1.0,0.0,1.0,0.1771384086601554,False,102
9,161145,r[q95]/r[kappa],source_matrix_order,0.010865793230826846,0.006470181200187007,0.007643919137226455,0.010049879085573235,0.00010100006963464233,-0.01577082291127407,-0.013152168069962996,0.002902988407410694,0.012993892884961233,0.01979160058743191,0.024008321108163054,0.796,0.204,0.796,0.9249098406419384,True,102
9,161145,d[pcdiamag3]/d[betan],source_matrix_order,1.4240500803833593,1.1164200368373671,1.4195528957435373,0.5706734401996518,0.3256681753493056,0.03159235688232785,0.06836628545585084,0.5529050247382697,1.5313356384857342,1.6229366524781008,1.628493300749231,0.986,0.014,0.986,0.4007397268261971,False,102
9,161145,d[kappa]/d[betan],source_matrix_order,-2.0654662459354074,-1.3852921581219961,-1.6653702724251795,0.7456298658496732,0.5559638968470016,-2.2151048315170745,-2.187298676575413,-2.048622808071147,-0.7677087927642562,-0.10374603579370355,-0.045419271663150615,0.014,0.986,0.986,0.360998330191541,False,102
9,161145,d[betan]/d[t],source_matrix_order,-0.6461773307879173,-0.33427537521611284,-0.3921193938000106,0.3028265631995105,0.09170392737922714,-0.692389554321101,-0.682689391946626,-0.6293222470197573,-0.06097236054242067,0.15881084493754227,0.1931295360917473,0.158,0.842,0.842,0.4686431243730851,True,102
9,161145,d[li]/d[betan],source_matrix_order,-0.0031664791209423428,-0.0017378947189669557,-0.0015006035038835248,0.007150566992072408,5.113060830811545e-05,-0.015921014240074086,-0.013060006074868204,-0.005984300123321834,0.002488047754953564,0.009759876509071667,0.0118928981091689,0.394,0.606,0.606,2.258207529232703,True,102
10,161414,d[pcdiamag3]/d[kappa],source_matrix_order,0.09597306455213328,0.15652732017293666,0.10662429778711688,0.1254266692012478,0.01573184934691924,0.041767049181597564,0.04943468505186593,0.07836973513050038,0.182251781417936,0.4290471177226404,0.5032638138158558,1.0,0.0,1.0,1.3068944894753651,False,35
10,161414,d[kappa]/d[t],source_matrix_order,0.27714173177280355,0.3221733648016487,0.29160683605781496,0.09629618738463104,0.009272955704815974,0.21315060449740836,0.2212152377522934,0.26154902893694765,0.34951335800056416,0.522665584356442,0.584640729821259,1.0,0.0,1.0,0.347461880852981,False,35
10,161414,r[q95]/r[kappa],source_matrix_order,-0.007658900805454891,-0.008459850773640894,-0.0071095273922833335,0.005951651556773503,3.542215625324446e-05,-0.023163727214659178,-0.020463892813832655,-0.011195646663012704,-0.0046776763641728746,-0.00105495426513516,0.00140202907296024,0.035,0.965,0.965,0.7770895208009205,True,35
10,161414,d[pcdiamag3]/d[betan],source_matrix_order,0.5755249191539983,0.5477061110327436,0.5708950636344381,0.057906094627762354,0.0033531157950393684,0.38756169548903135,0.42131340815576174,0.5353369253253975,0.5837978734447273,0.5977694383453247,0.6005457583199444,1.0,0.0,1.0,0.10061440035104337,False,35
10,161414,d[kappa]/d[betan],source_matrix_order,-0.31990470471755406,-0.3179451031952118,-0.318776819853614,0.0358714866446964,0.0012867635541006324,-0.3873014825138885,-0.37493919109101215,-0.3426796941989218,-0.29372666041024253,-0.25952808377332837,-0.24943368681285005,0.0,1.0,1.0,0.11213178835981003,False,35
10,161414,d[betan]/d[t],source_matrix_order,0.715150349286067,0.6719353046784098,0.7010540499240728,0.0930255658491919,0.00865375590156234,0.4175349300425361,0.4787816766208718,0.644740559817338,0.7306803326847864,0.7699047922290851,0.7785789979967652,1.0,0.0,1.0,0.13007833379660513,False,35
10,161414,d[li]/d[betan],source_matrix_order,-0.0009556580383259135,-0.0007313571678795692,-0.0006098370879548925,0.0032283917499884977,1.0422513291393794e-05,-0.007582805891208052,-0.005973843111377394,-0.002833493679401124,0.0013450157587068445,0.004600018517940622,0.005407385003744778,0.422,0.578,0.578,3.378187197211774,True,35
11,165017,d[pcdiamag3]/d[kappa],source_matrix_order,0.18318949267392015,0.3053180069512579,0.195197163831911,0.25811567561765225,0.06662370199955708,0.10335984405053258,0.11202312146392086,0.15411196246418493,0.30991552962368835,1.0076832147663677,1.0788907363798959,1.0,0.0,1.0,1.4090091732340804,False,66
11,165017,d[kappa]/d[t],source_matrix_order,0.4368414783882156,0.5065022702196249,0.4544046489647001,0.1405004551837402,0.01974037790683819,0.3761761048943611,0.38869870448617333,0.42571681584222104,0.5019402730833411,0.8820750998062878,0.9146738703636753,1.0,0.0,1.0,0.32162800955196585,False,66
11,165017,r[q95]/r[kappa],source_matrix_order,-0.02136253043998086,-0.015984474974115457,-0.019062523842520548,0.01671151526051065,0.0002792747423022804,-0.04168967145333051,-0.033097719175859755,-0.023105805802838796,-0.01434242672099905,0.01860097275344589,0.029489957827158575,0.123,0.877,0.877,0.7822816359448495,True,66
11,165017,d[pcdiamag3]/d[betan],source_matrix_order,0.7475852638852558,0.6642164862902895,0.7388639611609991,0.17884502546284958,0.03198554313280732,0.13112865834000217,0.1800555603202949,0.6626314265028215,0.7686681412145591,0.8030925058013016,0.8122718240246896,1.0,0.0,1.0,0.23923027125144034,False,66
11,165017,d[kappa]/d[betan],source_matrix_order,-0.4461936402557333,-0.40133270597093007,-0.4348086339475259,0.11323036835458765,0.012821116317715604,-0.544369843466857,-0.522216642619866,-0.46861105264621933,-0.37573017172887024,-0.12590018107444256,-0.07822697016892786,0.002,0.998,0.998,0.2537695702917013,False,66
11,165017,d[betan]/d[t],source_matrix_order,0.534995301748658,0.4704793879194035,0.5151978971096557,0.1308023677001745,0.017109259395971653,0.09009878351746155,0.12506914872196123,0.4495692453440399,0.5503775591602271,0.5948645969999763,0.6105306696741097,1.0,0.0,1.0,0.2444925539955966,False,66
11,165017,d[li]/d[betan],source_matrix_order,-0.004335442071213472,-0.003874344800828558,-0.00263847679539983,0.008229094875270154,6.771800246619751e-05,-0.024247643161887752,-0.01888346836475822,-0.008035651055725599,0.0014598472807966865,0.007531909111466433,0.009351607454989988,0.334,0.666,0.666,1.898098219304535,True,66
12,165022,d[pcdiamag3]/d[kappa],source_matrix_order,0.5159535649331588,0.5252216766523763,0.5334638242930898,0.3480980875211081,0.12117227853585304,0.05079949005678324,0.059360080272026085,0.1331914136446495,0.7411082629187805,1.1849056247690262,1.227151233685084,1.0,0.0,1.0,0.6746694105431816,False,35
12,165022,d[kappa]/d[t],source_matrix_order,0.4595903842272494,0.5167975270202789,0.4778474389802576,0.1807492103390327,0.03267027703818389,0.2849206731878632,0.3029219514368855,0.3911040004726283,0.5812610107691012,0.9644539739314939,0.9804977558075691,1.0,0.0,1.0,0.39328327254483836,False,35
12,165022,r[q95]/r[kappa],source_matrix_order,-0.04477815752504205,-0.03575263181895184,-0.0345175671918832,0.0397128016646098,0.0015771066160526347,-0.1417351460928299,-0.10719187700235931,-0.05452080359322403,-0.005964228649397734,0.014183358998606226,0.02339317003768912,0.086,0.914,0.914,0.8868788681713767,True,35
